Zeit;Kanal A;Kanal B
(ms);(mV);(mV)

-22,23458246;1,22293300;143,10100000
-22,22958246;1,57234300;138,76410000
-22,22458246;0,87352360;138,76410000
-22,21958246;0,52411410;138,76410000
-22,21458246;0,34940940;138,76410000
-22,20958246;1,04822800;143,10100000
-22,20458246;0,87352360;143,10100000
-22,19958246;0,52411410;143,10100000
-22,19458246;1,22293300;147,43790000
-22,18958246;0,87352360;143,10100000
-22,18458246;0,52411410;147,43790000
-22,17958246;1,22293300;147,43790000
-22,17458246;1,57234300;143,10100000
-22,16958246;1,57234300;147,43790000
-22,16458246;1,74704700;147,43790000
-22,15958246;1,04822800;147,43790000
-22,15458246;1,74704700;143,10100000
-22,14958246;1,92175200;143,10100000
-22,14458246;2,09645700;143,10100000
-22,13958246;0,69881890;147,43790000
-22,13458246;1,04822800;147,43790000
-22,12958246;1,39763800;151,77470000
-22,12458246;1,57234300;147,43790000
-22,11958246;1,92175200;147,43790000
-22,11458246;0,87352360;147,43790000
-22,10958246;0,52411410;151,77470000
-22,10458246;1,22293300;147,43790000
-22,09958246;0,17470470;151,77470000
-22,09458246;1,04822800;151,77470000
-22,08958246;0,87352360;151,77470000
-22,08458246;0,52411410;151,77470000
-22,07958246;0,52411410;151,77470000
-22,07458246;0,34940940;151,77470000
-22,06958246;0,87352360;151,77470000
-22,06458246;1,22293300;156,11160000
-22,05958246;1,39763800;156,11160000
-22,05458246;0,00000000;156,11160000
-22,04958246;0,17470470;156,11160000
-22,04458246;0,52411410;151,77470000
-22,03958246;1,39763800;151,77470000
-22,03458246;1,57234300;156,11160000
-22,02958246;1,57234300;156,11160000
-22,02458246;1,04822800;156,11160000
-22,01958246;0,52411410;156,11160000
-22,01458246;0,34940940;156,11160000
-22,00958246;1,04822800;160,44840000
-22,00458246;0,87352360;156,11160000
-21,99958246;0,00000000;160,44840000
-21,99458246;0,17470470;156,11160000
-21,98958246;0,34940940;160,44840000
-21,98458246;0,52411410;160,44840000
-21,97958246;0,17470470;156,11160000
-21,97458246;0,52411410;156,11160000
-21,96958246;0,17470470;160,44840000
-21,96458246;-0,17470470;160,44840000
-21,95958246;0,34940940;160,44840000
-21,95458246;-0,69881890;160,44840000
-21,94958246;-0,52411410;160,44840000
-21,94458246;-0,17470470;160,44840000
-21,93958246;-0,69881890;156,11160000
-21,93458246;0,17470470;160,44840000
-21,92958246;0,00000000;160,44840000
-21,92458246;0,17470470;164,78530000
-21,91958246;0,17470470;164,78530000
-21,91458246;0,17470470;164,78530000
-21,90958246;1,04822800;164,78530000
-21,90458246;0,00000000;160,44840000
-21,89958246;1,04822800;164,78530000
-21,89458246;0,17470470;164,78530000
-21,88958246;0,17470470;164,78530000
-21,88458246;0,69881890;164,78530000
-21,87958246;-0,34940940;164,78530000
-21,87458246;0,00000000;164,78530000
-21,86958246;0,17470470;169,12220000
-21,86458246;0,00000000;169,12220000
-21,85958246;-0,52411410;169,12220000
-21,85458246;0,17470470;164,78530000
-21,84958246;0,87352360;164,78530000
-21,84458246;-0,34940940;169,12220000
-21,83958247;0,00000000;164,78530000
-21,83458247;0,00000000;169,12220000
-21,82958247;0,00000000;169,12220000
-21,82458247;0,34940940;169,12220000
-21,81958247;0,00000000;169,12220000
-21,81458247;-0,52411410;173,45900000
-21,80958247;-0,34940940;169,12220000
-21,80458247;-0,69881890;173,45900000
-21,79958247;0,17470470;169,12220000
-21,79458247;-0,17470470;173,45900000
-21,78958247;0,52411410;173,45900000
-21,78458247;0,00000000;173,45900000
-21,77958247;0,34940940;169,12220000
-21,77458247;0,69881890;173,45900000
-21,76958247;0,17470470;173,45900000
-21,76458247;-0,69881890;173,45900000
-21,75958247;0,69881890;173,45900000
-21,75458247;0,69881890;173,45900000
-21,74958247;0,87352360;173,45900000
-21,74458247;1,22293300;173,45900000
-21,73958247;0,87352360;177,79590000
-21,73458247;1,04822800;173,45900000
-21,72958247;1,04822800;173,45900000
-21,72458247;0,87352360;177,79590000
-21,71958247;0,17470470;173,45900000
-21,71458247;0,52411410;173,45900000
-21,70958247;-0,52411410;177,79590000
-21,70458247;0,17470470;177,79590000
-21,69958247;0,52411410;177,79590000
-21,69458247;-0,34940940;177,79590000
-21,68958247;0,17470470;177,79590000
-21,68458247;0,34940940;177,79590000
-21,67958247;-0,52411410;177,79590000
-21,67458247;0,00000000;177,79590000
-21,66958247;-0,34940940;182,13270000
-21,66458247;0,34940940;173,45900000
-21,65958247;0,17470470;177,79590000
-21,65458247;2,27116100;173,45900000
-21,64958247;0,17470470;177,79590000
-21,64458247;-0,69881890;177,79590000
-21,63958247;-0,34940940;177,79590000
-21,63458247;-0,52411410;177,79590000
-21,62958247;-0,34940940;182,13270000
-21,62458247;0,34940940;182,13270000
-21,61958247;0,00000000;182,13270000
-21,61458247;-0,34940940;177,79590000
-21,60958247;-0,69881890;182,13270000
-21,60458247;0,00000000;177,79590000
-21,59958247;0,34940940;177,79590000
-21,59458247;0,00000000;182,13270000
-21,58958247;0,52411410;177,79590000
-21,58458247;0,17470470;182,13270000
-21,57958247;0,52411410;182,13270000
-21,57458247;0,52411410;182,13270000
-21,56958247;0,34940940;182,13270000
-21,56458247;0,34940940;182,13270000
-21,55958247;0,69881890;186,46960000
-21,55458247;0,87352360;182,13270000
-21,54958247;0,87352360;182,13270000
-21,54458247;-0,17470470;186,46960000
-21,53958247;0,52411410;182,13270000
-21,53458247;0,17470470;186,46960000
-21,52958247;0,17470470;182,13270000
-21,52458247;-0,34940940;186,46960000
-21,51958247;0,52411410;182,13270000
-21,51458247;0,87352360;182,13270000
-21,50958247;0,87352360;186,46960000
